#,Ticker,Name,Listing_Date,Window_End,Timeframe,Listing_Price,End_Price,Total_Return_%
186,SRLI,Sanima Reliance Life Insurance Limited,5/21/23,5/21/24,1 year,404.8,456,12.65
187,IGI,IGI Prudential Insurance Limited,6/4/23,6/4/24,1 year,407.9,530,29.93
188,BEDC,Bhugol Energy Development Company Limited,6/8/23,6/8/24,1 year,223,421,78.03
189,DOLTI,Dolti Power Company Ltd,6/8/23,6/8/24,1 year,287.1,433,49.77
190,CITY,City Hotel Limited,6/11/23,6/11/24,1 year,122.2,698,471.19
191,MCHL,Menchhiyam Hydropower  Limited,6/18/23,6/18/24,1 year,255.2,415.3,62.74
192,IHL,Ingwa Hydropower Ltd,6/20/23,6/20/24,1 year,320.9,423,31.82
193,HLI,Himalayan Life Insurance Limited,6/22/23,6/22/24,1 year,381.1,378,-0.81
194,MEL,Modi Energy Limited,7/5/23,7/5/24,1 year,243,223.4,-9.38
195,RAWA,Rawa Energy Development Ltd.,7/5/23,7/5/24,1 year,274.2,560,106.78
196,UAIL,United Ajod Insurance Limited,7/17/23,7/17/24,1 year,538.4,640,31.17
197,ILI,IME Life Insurance Company Limited,8/6/23,8/6/24,1 year,582.4,521.6,12.18
198,NRM,Nepal Republic Media Limited,8/6/23,8/6/24,1 year,275.4,487,76.83
199,TSHL,Three Star Hydropower Limited,8/13/23,8/13/24,1 year,280.5,815,190.55
200,USHL,Upper Syange Hydropower Limited,8/13/23,8/13/24,1 year,278.9,661,137
201,GCIL,Ghorahi Cement Industry Limited,8/13/23,8/13/24,1 year,509,615,38.95
202,KBSH,Kutheli Bukhari Small Hydropower Limited,8/21/23,8/21/24,1 year,526.9,2091,296.85
203,LSL,Laxmi Sunrise Bank Limited,8/28/23,8/28/24,1 year,181.2,259,53.15
204,RNLI,Reliable Nepal Life Insurance Limited,9/17/23,9/17/24,1 year,495,481,14.29
205,SNLI,Sun Nepal Life Insurance Company Limited,9/21/23,9/21/24,1 year,470,565,48.04
206,MEHL,Manakamana Engineering Hydropower Limited,9/25/23,9/25/24,1 year,225,375,66.67
207,ULHC,Upper Lohore Khola Hydropower Company Limited,9/25/23,9/25/24,1 year,264,390,47.73
208,CLI,Citizen Life Insurance Company Limited,10/1/23,10/1/24,1 year,457.2,633,45.43
209,MANDU,Mandu Hydropower Limited,10/11/23,10/11/24,1 year,410.5,972,137.52
210,HATHY,Hathway Investment Nepal Limited,10/11/23,10/11/24,1 year,313.7,1444,398.1
211,BGWT,Bhagawati Hydropower Development Company Limited,10/12/23,10/12/24,1 year,397.2,960,156.71
212,MSHL,Mid Solu Hydropower Company Limited,10/12/23,10/12/24,1 year,330,1026.9,245.76
213,SONA,Sonapur Minerals and Oil Limited,10/29/23,10/29/24,1 year,315,487,54.6
214,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,11/20/23,11/20/24,1 year,259.6,681.9,162.67
215,TVCL,Trishuli Jal Vidhyut Company Limited,12/7/23,12/7/24,1 year,294.8,511,73.68
216,MKCL,Muktinath Krishi Company Limited,12/14/23,12/14/24,1 year,196.6,1500,688.4
217,PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,12/19/23,12/19/24,1 year,589,519.5,-2.89
218,VLUCL,Vision Lumbini Urja Company Limited,12/21/23,12/21/24,1 year,401.8,648,61.32
219,CKHL,Chirkhwa Hydro Power Limited,12/21/23,12/21/24,1 year,330,771,119.7
220,NWCL,Nepal Warehousing Company Limited,12/21/23,12/21/24,1 year,229.6,954,320.3
221,SIGS3,Siddhartha Investment Growth Scheme 3,1/4/24,1/4/25,1 year,8.42,9.75,98.46
222,HRL,Himalayan Reinsurance Limited,1/8/24,1/8/25,1 year,340.1,825,152.34
223,SARBTM,Sarbottam Cement Limited,3/19/24,3/19/25,1 year,611.6,807,44.13
224,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,5/19/24,5/19/25,1 year,646.6,620.72,-4
225,MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,8/13/24,8/13/25,1 year,1406.2,1169.21,-16.85
226,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,8/18/24,8/18/25,1 year,1162.7,942.21,-18.96
227,GMLI,Guardian Micro Life Insurance Limited,2/9/25,2/9/26,1 year,331.1,1772,435.19
228,NMIC,Nepal Micro Insurance Company Limited,4/8/25,4/8/26,1 year,332.5,1195,259.4
229,CREST,Crest Micro Life Insurance Limited,4/10/25,4/10/26,1 year,332.7,1312.8,294.59
230,OMPL,Om Megashree Pharmaceuticals Limited,5/4/25,5/4/26,1 year,297,1125,278.79
,,,,,,,Avg Return %,97.03308696
,,,,,,,CAGR,97.03308696
,,,,,,,Median,36.01
